file_id,audio_file,labels,split
18108,18108.wav,"Clock,Mechanisms",dev
347320,347320.wav,Domestic_sounds_and_home_sounds,dev
420108,420108.wav,Tools,dev
202748,202748.wav,Fire,dev
213240,213240.wav,"Fireworks,Explosion",dev
357391,357391.wav,"Trumpet,Brass_instrument,Musical_instrument,Music",dev
232716,232716.wav,"Electric_guitar,Guitar,Plucked_string_instrument,Musical_instrument,Music",dev
162992,162992.wav,"Bass_guitar,Guitar,Plucked_string_instrument,Musical_instrument,Music",dev
119144,119144.wav,"Writing,Domestic_sounds_and_home_sounds",dev
266997,266997.wav,"Cutlery_and_silverware,Domestic_sounds_and_home_sounds",dev
117512,117512.wav,"Scratching_(performance_technique),Musical_instrument,Music",eval
251135,251135.wav,"Acoustic_guitar,Guitar,Plucked_string_instrument,Musical_instrument,Music",dev
405807,405807.wav,"Organ,Keyboard_(musical),Musical_instrument,Music",dev
180296,180296.wav,"Chuckle_and_chortle,Laughter,Human_voice",dev
227906,227906.wav,"Drum,Percussion,Musical_instrument,Music",dev
39155,39155.wav,"Piano,Keyboard_(musical),Musical_instrument,Music",dev
143818,143818.wav,"Snare_drum,Drum,Percussion,Musical_instrument,Music",dev
19529,19529.wav,"Singing,Human_voice",dev
8157,8157.wav,"Laughter,Human_voice",dev
332415,332415.wav,"Train,Rail_transport,Vehicle",dev
411179,411179.wav,"Keys_jangling,Domestic_sounds_and_home_sounds",dev
92932,92932.wav,"Child_speech_and_kid_speaking,Speech,Human_voice",dev
347362,347362.wav,"Writing,Tap,Domestic_sounds_and_home_sounds",eval
173691,173691.wav,"Piano,Keyboard_(musical),Musical_instrument,Music",dev
44423,44423.wav,"Sigh,Human_voice",dev
162901,162901.wav,"Scissors,Domestic_sounds_and_home_sounds",dev
107275,107275.wav,"Sawing,Tools",dev
190092,190092.wav,"Water,Splash_and_splatter,Liquid",dev
359057,359057.wav,"Wind_instrument_and_woodwind_instrument,Musical_instrument,Music",dev
320449,320449.wav,"Drill,Mechanisms,Power_tool,Tools",eval
137647,137647.wav,"Hi-hat,Cymbal,Percussion,Musical_instrument,Music",dev
190249,190249.wav,Human_voice,dev
211629,211629.wav,"Female_singing,Singing,Human_voice",eval
333441,333441.wav,"Rain,Water",dev
