Type,Query,nDCG,Precision,MRR,Targets
Type 1 (Metadata),warm fun analog-synth-bass,1.0,1.0,1.0,"{'category': 'analog-synth-bass', 'descriptors': ['warm', 'fun']}"
Type 1 (Metadata),short one shot analog-synth-bass,1.0,1.0,1.0,"{'category': 'analog-synth-bass', 'descriptors': ['short', 'one shot']}"
Type 1 (Metadata),low warm analog-synth-bass,0.9985859189792663,1.0,1.0,"{'category': 'analog-synth-bass', 'descriptors': ['low', 'warm']}"
Type 1 (Metadata),short one shot analog-synth-bass,1.0,1.0,1.0,"{'category': 'analog-synth-bass', 'descriptors': ['short', 'one shot']}"
Type 1 (Metadata),bouncy fat analog-synth-bass,0.8293276063167291,0.9,1.0,"{'category': 'analog-synth-bass', 'descriptors': ['bouncy', 'fat']}"
Type 1 (Metadata),eerie dynamic analog-synth-bass,0.8941978184529114,1.0,1.0,"{'category': 'analog-synth-bass', 'descriptors': ['eerie', 'dynamic']}"
Type 1 (Metadata),low warm analog-synth-bass,0.9985859189792663,1.0,1.0,"{'category': 'analog-synth-bass', 'descriptors': ['low', 'warm']}"
Type 1 (Metadata),low warm analog-synth-bass,0.9985859189792663,1.0,1.0,"{'category': 'analog-synth-bass', 'descriptors': ['low', 'warm']}"
Type 1 (Metadata),dynamic warm analog-synth-bass,1.0,1.0,1.0,"{'category': 'analog-synth-bass', 'descriptors': ['dynamic', 'warm']}"
Type 1 (Metadata),electro dynamic analog-synth-bass,1.0,1.0,1.0,"{'category': 'analog-synth-bass', 'descriptors': ['electro', 'dynamic']}"
Type 1 (Metadata),eerie dynamic analog-synth-bass,0.89770792390012,1.0,1.0,"{'category': 'analog-synth-bass', 'descriptors': ['eerie', 'dynamic']}"
Type 1 (Metadata),aggressive warm analog-synth-bass,0.9256178884858801,1.0,1.0,"{'category': 'analog-synth-bass', 'descriptors': ['aggressive', 'warm']}"
Type 1 (Metadata),dynamic warm analog-synth-bass,1.0,1.0,1.0,"{'category': 'analog-synth-bass', 'descriptors': ['dynamic', 'warm']}"
Type 1 (Metadata),dynamic warm analog-synth-bass,1.0,1.0,1.0,"{'category': 'analog-synth-bass', 'descriptors': ['dynamic', 'warm']}"
Type 1 (Metadata),aggressive dynamic analog-synth-bass,0.9220044578092236,1.0,1.0,"{'category': 'analog-synth-bass', 'descriptors': ['aggressive', 'dynamic']}"
Type 1 (Metadata),warm ethereal analog-synth-bass,0.8630692263718067,0.8,1.0,"{'category': 'analog-synth-bass', 'descriptors': ['warm', 'ethereal']}"
Type 1 (Metadata),dynamic warm analog-synth-bass,1.0,1.0,1.0,"{'category': 'analog-synth-bass', 'descriptors': ['dynamic', 'warm']}"
Type 1 (Metadata),bass fat analog-synth-bass,0.9278005313640633,1.0,1.0,"{'category': 'analog-synth-bass', 'descriptors': ['bass', 'fat']}"
Type 1 (Metadata),short one shot analog-synth-bass,1.0,1.0,1.0,"{'category': 'analog-synth-bass', 'descriptors': ['short', 'one shot']}"
Type 1 (Metadata),dynamic cold analog-synth-bass,0.8972575561624712,1.0,1.0,"{'category': 'analog-synth-bass', 'descriptors': ['dynamic', 'cold']}"
Type 2 (Natural),granular dark bass for trap drop,0.9826741846456147,0.9,1.0,"{'category': 'bass', 'descriptors': ['granular', 'dark', 'trap', 'heavy']}"
Type 2 (Natural),bright analog synth pad,0.9250176279647117,0.8,1.0,"{'category': 'synth', 'descriptors': ['bright', 'analog', 'pad', 'warm']}"
Type 2 (Natural),punchy kick drum dry,0.9970859019833872,0.9,1.0,"{'category': 'drums', 'descriptors': ['punchy', 'kick', 'dry', 'hard']}"
Type 2 (Natural),atmospheric cinematic texture,0.8454423206922441,0.8,1.0,"{'category': 'fx', 'descriptors': ['atmospheric', 'cinematic', 'texture', 'ambient']}"
Type 2 (Natural),distorted 808 bass,0.717403969953955,0.4,1.0,"{'category': 'bass', 'descriptors': ['distorted', '808', 'sub']}"
